,LAZ US Equity
,BEST_DIV_YLD
2020-01-01,7.221
2020-01-02,7.08
2020-01-03,7.137
2020-01-04,7.137
2020-01-05,7.137
2020-01-06,7.023
2020-01-07,6.974
2020-01-08,6.78
2020-01-09,6.655
2020-01-10,6.677
2020-01-11,6.677
2020-01-12,6.677
2020-01-13,6.53
2020-01-14,6.536
2020-01-15,6.56
2020-01-16,6.477
2020-01-17,6.523
2020-01-18,6.523
2020-01-19,6.523
2020-01-20,6.523
2020-01-21,6.664
2020-01-22,6.683
2020-01-23,6.807
2020-01-24,6.884
2020-01-25,6.884
2020-01-26,6.884
2020-01-27,6.992
2020-01-28,6.928
2020-01-29,6.761
2020-01-30,6.742
2020-01-31,6.877
2020-02-01,6.877
2020-02-02,6.877
2020-02-03,6.985
2020-02-04,6.815
2020-02-05,6.593
2020-02-06,6.578
2020-02-07,6.631
2020-02-08,6.631
2020-02-09,6.631
2020-02-10,6.602
2020-02-11,6.687
2020-02-12,6.629
2020-02-13,6.728
2020-02-14,6.746
2020-02-15,6.746
2020-02-16,6.746
2020-02-17,6.746
2020-02-18,6.739
2020-02-19,6.723
2020-02-20,6.802
2020-02-21,6.89
2020-02-22,6.89
2020-02-23,6.89
2020-02-24,7.275
2020-02-25,7.503
2020-02-26,7.55
2020-02-27,7.832
2020-02-28,7.968
2020-02-29,7.968
2020-03-01,7.968
2020-03-02,7.52
2020-03-03,7.747
2020-03-04,7.621
2020-03-05,8.194
2020-03-06,8.421
2020-03-07,8.421
2020-03-08,8.421
2020-03-09,9.532
2020-03-10,8.82
2020-03-11,9.635
2020-03-12,11.625
2020-03-13,10.06
2020-03-14,10.06
2020-03-15,10.06
2020-03-16,11.192
2020-03-17,11.049
2020-03-18,11.726
2020-03-19,11.462
2020-03-20,12.685
2020-03-21,12.685
2020-03-22,12.685
2020-03-23,13.552
2020-03-24,11.992
2020-03-25,12.068
2020-03-26,11.353
2020-03-27,11.721
2020-03-28,11.721
2020-03-29,11.721
2020-03-30,12.027
2020-03-31,12.114
2020-04-01,12.701
2020-04-02,12.458
2020-04-03,12.662
2020-04-04,12.662
2020-04-05,12.662
2020-04-06,12.171
2020-04-07,11.357
2020-04-08,10.713
2020-04-09,10.626
2020-04-10,10.626
2020-04-11,10.626
2020-04-12,10.626
2020-04-13,11.041
2020-04-14,10.815
2020-04-15,11.272
2020-04-16,10.939
2020-04-17,10.255
2020-04-18,10.255
2020-04-19,10.255
2020-04-20,10.288
2020-04-21,10.543
2020-04-22,10.803
2020-04-23,10.831
2020-04-24,11.833
2020-04-25,11.833
2020-04-26,11.833
2020-04-27,11.55
2020-04-28,10.969
2020-04-29,10.266
2020-04-30,10.378
2020-05-01,11.276
2020-05-02,11.276
2020-05-03,11.276
2020-05-04,11.389
2020-05-05,11.499
2020-05-06,11.606
2020-05-07,11.019
2020-05-08,10.495
2020-05-09,10.495
2020-05-10,10.495
2020-05-11,10.491
2020-05-12,11.002
2020-05-13,11.363
2020-05-14,11.299
2020-05-15,10.959
2020-05-16,10.959
2020-05-17,10.959
2020-05-18,10.655
2020-05-19,11.178
2020-05-20,10.968
2020-05-21,10.955
2020-05-22,10.942
2020-05-23,10.942
2020-05-24,10.942
2020-05-25,10.942
2020-05-26,10.46
2020-05-27,9.843
2020-05-28,10.142
2020-05-29,10.433
2020-05-30,10.433
2020-05-31,10.433
2020-06-01,10.127
2020-06-02,9.895
2020-06-03,9.107
2020-06-04,8.973
2020-06-05,8.572
2020-06-06,8.572
2020-06-07,8.572
2020-06-08,8.492
2020-06-09,8.652
2020-06-10,9.432
2020-06-11,10.091
2020-06-12,9.826
2020-06-13,9.826
2020-06-14,9.826
2020-06-15,9.713
2020-06-16,9.422
2020-06-17,9.341
2020-06-18,9.245
2020-06-19,9.31
2020-06-20,9.31
2020-06-21,9.31
2020-06-22,9.454
2020-06-23,9.57
2020-06-24,9.916
2020-06-25,9.912
2020-06-26,10.291
2020-06-27,10.291
2020-06-28,10.291
2020-06-29,10.058
2020-06-30,9.788
2020-07-01,9.944
2020-07-02,9.72
2020-07-03,9.72
2020-07-04,9.72
2020-07-05,9.72
2020-07-06,9.61
2020-07-07,9.951
2020-07-08,9.86
2020-07-09,10.238
2020-07-10,9.912
2020-07-11,9.912
2020-07-12,9.912
2020-07-13,9.898
2020-07-14,9.812
2020-07-15,9.561
2020-07-16,9.593
2020-07-17,9.826
2020-07-18,9.826
2020-07-19,9.826
2020-07-20,9.972
2020-07-21,9.613
2020-07-22,9.944
2020-07-23,9.781
2020-07-24,10.026
2020-07-25,10.026
2020-07-26,10.026
2020-07-27,9.916
2020-07-28,9.951
2020-07-29,9.781
2020-07-30,10.116
2020-07-31,9.557
2020-08-01,9.557
2020-08-02,9.557
2020-08-03,9.188
2020-08-04,9.188
2020-08-05,8.976
2020-08-06,8.987
2020-08-07,8.804
2020-08-08,8.804
2020-08-09,8.804
2020-08-10,8.595
2020-08-11,8.545
2020-08-12,8.548
2020-08-13,8.55
2020-08-14,8.577
2020-08-15,8.577
2020-08-16,8.577
2020-08-17,8.614
2020-08-18,8.762
2020-08-19,8.809
2020-08-20,8.915
2020-08-21,8.932
2020-08-22,8.932
2020-08-23,8.932
2020-08-24,8.731
2020-08-25,8.737
2020-08-26,8.79
2020-08-27,8.77
2020-08-28,8.671
2020-08-29,8.671
2020-08-30,8.671
2020-08-31,8.715
2020-09-01,8.593
2020-09-02,8.464
2020-09-03,8.641
2020-09-04,8.709
2020-09-05,8.709
