,CTXS US Equity
,BEST_DIV_YLD
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,1.119
2020-01-25,1.119
2020-01-26,1.119
2020-01-27,1.131
2020-01-28,1.143
2020-01-29,1.167
2020-01-30,1.171
2020-01-31,1.184
2020-02-01,1.184
2020-02-02,1.184
2020-02-03,1.17
2020-02-04,1.162
2020-02-05,1.169
2020-02-06,1.174
2020-02-07,1.185
2020-02-08,1.185
2020-02-09,1.185
2020-02-10,1.178
2020-02-11,1.18
2020-02-12,1.176
2020-02-13,1.167
2020-02-14,1.176
2020-02-15,1.176
2020-02-16,1.176
2020-02-17,1.176
2020-02-18,1.162
2020-02-19,1.174
2020-02-20,1.2
2020-02-21,1.237
2020-02-22,1.237
2020-02-23,1.237
2020-02-24,1.282
2020-02-25,1.321
2020-02-26,1.344
2020-02-27,1.394
2020-02-28,1.388
2020-02-29,1.388
2020-03-01,1.388
2020-03-02,1.32
2020-03-03,1.349
2020-03-04,1.303
2020-03-05,1.229
2020-03-06,1.213
2020-03-07,1.213
2020-03-08,1.213
2020-03-09,1.234
2020-03-10,1.247
2020-03-11,1.246
2020-03-12,1.362
2020-03-13,1.259
2020-03-14,1.259
2020-03-15,1.259
2020-03-16,1.292
2020-03-17,1.123
2020-03-18,1.096
2020-03-19,1.142
2020-03-20,1.199
2020-03-21,1.199
2020-03-22,1.199
2020-03-23,1.177
2020-03-24,1.173
2020-03-25,1.13
2020-03-26,1.038
2020-03-27,1.022
2020-03-28,1.022
2020-03-29,1.022
2020-03-30,0.981
2020-03-31,1.011
2020-04-01,1.028
2020-04-02,1.004
2020-04-03,1.012
2020-04-04,1.012
2020-04-05,1.012
2020-04-06,0.972
2020-04-07,0.981
2020-04-08,0.975
2020-04-09,1.026
2020-04-10,1.026
2020-04-11,1.026
2020-04-12,1.026
2020-04-13,1.022
2020-04-14,0.995
2020-04-15,0.986
2020-04-16,0.95
2020-04-17,0.958
2020-04-18,0.958
2020-04-19,0.958
2020-04-20,0.956
2020-04-21,0.983
2020-04-22,0.95
2020-04-23,1.018
2020-04-24,1.029
2020-04-25,1.029
2020-04-26,1.029
2020-04-27,1.019
2020-04-28,1.064
2020-04-29,1.073
2020-04-30,1.036
2020-05-01,1.054
2020-05-02,1.054
2020-05-03,1.054
2020-05-04,1.027
2020-05-05,1.025
2020-05-06,1.017
2020-05-07,0.997
2020-05-08,0.995
2020-05-09,0.995
2020-05-10,0.995
2020-05-11,0.975
2020-05-12,1.023
2020-05-13,1.025
2020-05-14,1.029
2020-05-15,1.024
2020-05-16,1.024
2020-05-17,1.024
2020-05-18,1.074
2020-05-19,1.095
2020-05-20,1.093
2020-05-21,1.099
2020-05-22,1.096
2020-05-23,1.096
2020-05-24,1.096
2020-05-25,1.096
2020-05-26,1.081
2020-05-27,1.079
2020-05-28,1.064
2020-05-29,1.014
2020-05-30,1.014
2020-05-31,1.014
2020-06-01,1.024
2020-06-02,1.044
2020-06-03,1.076
2020-06-04,1.071
2020-06-05,1.077
2020-06-06,1.077
2020-06-07,1.077
2020-06-08,1.071
2020-06-09,1.069
2020-06-10,1.06
2020-06-11,1.087
2020-06-12,1.065
2020-06-13,1.065
2020-06-14,1.065
2020-06-15,1.046
2020-06-16,1.03
2020-06-17,1.031
2020-06-18,1.021
2020-06-19,1.036
2020-06-20,1.036
2020-06-21,1.036
2020-06-22,1.035
2020-06-23,1.05
2020-06-24,1.054
2020-06-25,1.064
2020-06-26,1.05
2020-06-27,1.05
2020-06-28,1.05
2020-06-29,1.035
2020-06-30,1.013
2020-07-01,1.003
2020-07-02,0.999
2020-07-03,0.999
2020-07-04,0.999
2020-07-05,0.999
2020-07-06,0.997
2020-07-07,0.999
2020-07-08,1.001
2020-07-09,0.982
2020-07-10,0.984
2020-07-11,0.984
2020-07-12,0.984
2020-07-13,1.005
2020-07-14,0.975
2020-07-15,0.994
2020-07-16,0.987
2020-07-17,0.962
2020-07-18,0.962
2020-07-19,0.962
2020-07-20,0.893
2020-07-21,0.904
2020-07-22,0.897
2020-07-23,1.03
2020-07-24,1.045
2020-07-25,1.045
2020-07-26,1.045
2020-07-27,1.048
2020-07-28,1.078
2020-07-29,1.069
2020-07-30,1.05
2020-07-31,1.043
2020-08-01,1.043
2020-08-02,1.043
2020-08-03,1.064
2020-08-04,1.043
2020-08-05,1.043
2020-08-06,1.057
2020-08-07,1.055
2020-08-08,1.055
2020-08-09,1.055
2020-08-10,1.082
2020-08-11,1.097
2020-08-12,1.09
2020-08-13,1.083
2020-08-14,1.092
2020-08-15,1.092
2020-08-16,1.092
