,MMM US Equity
,BEST_DIV_YLD
2020-01-01,5.275
2020-01-02,5.17
2020-01-03,5.215
2020-01-04,5.215
2020-01-05,5.215
2020-01-06,5.21
2020-01-07,5.231
2020-01-08,5.152
2020-01-09,5.136
2020-01-10,5.157
2020-01-11,5.157
2020-01-12,5.157
2020-01-13,5.144
2020-01-14,5.131
2020-01-15,5.177
2020-01-16,5.141
2020-01-17,5.132
2020-01-18,5.132
2020-01-19,5.132
2020-01-20,5.132
2020-01-21,5.188
2020-01-22,5.228
2020-01-23,5.236
2020-01-24,5.224
2020-01-25,5.224
2020-01-26,5.224
2020-01-27,5.299
2020-01-28,5.621
2020-01-29,5.745
2020-01-30,5.727
2020-01-31,5.866
2020-02-01,5.866
2020-02-02,5.866
2020-02-03,5.943
2020-02-04,5.919
2020-02-05,5.733
2020-02-06,5.713
2020-02-07,5.814
2020-02-08,5.814
2020-02-09,5.814
2020-02-10,5.811
2020-02-11,5.729
2020-02-12,5.682
2020-02-13,5.773
2020-02-14,5.728
2020-02-15,5.728
2020-02-16,5.728
2020-02-17,5.728
2020-02-18,5.805
2020-02-19,5.788
2020-02-20,5.817
2020-02-21,5.877
2020-02-22,5.877
2020-02-23,5.877
2020-02-24,6.046
2020-02-25,6.281
2020-02-26,6.192
2020-02-27,6.142
2020-02-28,6.18
2020-02-29,6.18
2020-03-01,6.18
2020-03-02,6.027
2020-03-03,6.35
2020-03-04,5.99
2020-03-05,6.091
2020-03-06,6.003
2020-03-07,6.003
2020-03-08,6.003
2020-03-09,6.402
2020-03-10,6.016
2020-03-11,6.264
2020-03-12,6.904
2020-03-13,6.51
2020-03-14,6.51
2020-03-15,6.51
2020-03-16,7.045
2020-03-17,6.86
2020-03-18,6.731
2020-03-19,6.707
2020-03-20,7.385
2020-03-21,7.385
2020-03-22,7.385
2020-03-23,7.825
2020-03-24,6.949
2020-03-25,7.012
2020-03-26,6.773
2020-03-27,6.922
2020-03-28,6.922
2020-03-29,6.922
2020-03-30,6.696
2020-03-31,6.756
2020-04-01,6.927
2020-04-02,6.688
2020-04-03,6.894
2020-04-04,6.894
2020-04-05,6.894
2020-04-06,6.555
2020-04-07,6.378
2020-04-08,6.19
2020-04-09,6.241
2020-04-10,6.241
2020-04-11,6.241
2020-04-12,6.241
2020-04-13,6.3
2020-04-14,6.143
2020-04-15,6.354
2020-04-16,6.365
2020-04-17,6.297
2020-04-18,6.297
2020-04-19,6.297
2020-04-20,6.42
2020-04-21,6.512
2020-04-22,6.422
2020-04-23,6.39
2020-04-24,6.274
2020-04-25,6.274
2020-04-26,6.274
2020-04-27,6.003
2020-04-28,5.852
2020-04-29,5.902
2020-04-30,6.071
2020-05-01,6.207
2020-05-02,6.207
2020-05-03,6.207
2020-05-04,6.215
2020-05-05,6.256
2020-05-06,6.308
2020-05-07,6.328
2020-05-08,6.21
2020-05-09,6.21
2020-05-10,6.21
2020-05-11,6.329
2020-05-12,6.517
2020-05-13,6.776
2020-05-14,6.782
2020-05-15,6.65
2020-05-16,6.65
2020-05-17,6.65
2020-05-18,6.981
2020-05-19,7.023
2020-05-20,6.85
2020-05-21,6.963
2020-05-22,6.933
2020-05-23,6.933
2020-05-24,6.933
2020-05-25,6.933
2020-05-26,6.676
2020-05-27,6.42
2020-05-28,6.474
2020-05-29,6.49
2020-05-30,6.49
2020-05-31,6.49
2020-06-01,6.526
2020-06-02,6.441
2020-06-03,6.298
2020-06-04,6.246
2020-06-05,6.065
2020-06-06,6.065
2020-06-07,6.065
2020-06-08,6.084
2020-06-09,6.091
2020-06-10,6.195
2020-06-11,6.663
2020-06-12,6.556
2020-06-13,6.556
2020-06-14,6.556
2020-06-15,6.661
2020-06-16,6.58
2020-06-17,6.598
2020-06-18,6.599
2020-06-19,6.643
2020-06-20,6.643
2020-06-21,6.643
2020-06-22,6.705
2020-06-23,6.656
2020-06-24,6.902
2020-06-25,6.792
2020-06-26,6.888
2020-06-27,6.888
2020-06-28,6.888
2020-06-29,6.753
2020-06-30,6.735
2020-07-01,6.759
2020-07-02,6.69
2020-07-03,6.69
2020-07-04,6.69
2020-07-05,6.69
2020-07-06,6.645
2020-07-07,6.786
2020-07-08,6.796
2020-07-09,6.937
2020-07-10,6.873
2020-07-11,6.873
2020-07-12,6.873
2020-07-13,6.787
2020-07-14,6.627
2020-07-15,6.594
2020-07-16,6.546
2020-07-17,6.573
2020-07-18,6.573
2020-07-19,6.573
2020-07-20,6.719
2020-07-21,6.658
2020-07-22,6.62
2020-07-23,6.595
2020-07-24,6.573
2020-07-25,6.573
2020-07-26,6.573
2020-07-27,6.436
2020-07-28,6.768
2020-07-29,6.683
2020-07-30,6.865
2020-07-31,6.94
2020-08-01,6.94
2020-08-02,6.94
2020-08-03,6.943
2020-08-04,6.906
2020-08-05,6.722
2020-08-06,6.694
2020-08-07,6.595
2020-08-08,6.595
2020-08-09,6.595
2020-08-10,6.468
2020-08-11,6.391
2020-08-12,6.357
2020-08-13,6.065
2020-08-14,6.056
2020-08-15,6.056
2020-08-16,6.056
2020-08-17,6.108
2020-08-18,6.12
2020-08-19,6.135
2020-08-20,6.173
2020-08-21,6.191
2020-08-22,6.191
2020-08-23,6.191
2020-08-24,6.122
2020-08-25,6.138
2020-08-26,6.108
2020-08-27,6.101
2020-08-28,6.043
2020-08-29,6.043
2020-08-30,6.043
2020-08-31,6.141
2020-09-01,6.075
2020-09-02,5.906
2020-09-03,6.019
2020-09-04,6.039
2020-09-05,6.039
2020-09-06,6.039
2020-09-07,6.039
2020-09-08,6.135
2020-09-09,6.042
2020-09-10,6.136
2020-09-11,6.025
2020-09-12,6.025
2020-09-13,6.025
2020-09-14,5.943
2020-09-15,6.01
2020-09-16,5.906
2020-09-17,5.808
2020-09-18,5.904
2020-09-19,5.904
2020-09-20,5.904
2020-09-21,6.204
2020-09-22,6.167
2020-09-23,6.276
2020-09-24,6.241
2020-09-25,6.246
2020-09-26,6.246
2020-09-27,6.246
2020-09-28,6.193
2020-09-29,6.264
2020-09-30,6.25
2020-10-01,6.305
2020-10-02,6.243
2020-10-03,6.243
2020-10-04,6.243
2020-10-05,6.151
2020-10-06,6.171
2020-10-07,6.013
2020-10-08,5.969
2020-10-09,5.913
2020-10-10,5.913
2020-10-11,5.913
2020-10-12,5.988
2020-10-13,6.061
2020-10-14,5.997
2020-10-15,5.973
2020-10-16,5.907
2020-10-17,5.907
2020-10-18,5.907
2020-10-19,5.676
2020-10-20,5.629
2020-10-21,5.689
2020-10-22,5.637
2020-10-23,5.668
2020-10-24,5.668
2020-10-25,5.668
2020-10-26,5.792
2020-10-27,5.976
2020-10-28,6.218
2020-10-29,6.22
2020-10-30,6.162
2020-10-31,6.162
2020-11-01,6.162
2020-11-02,6.05
2020-11-03,5.956
2020-11-04,6.155
2020-11-05,6.04
2020-11-06,6.047
2020-11-07,6.047
2020-11-08,6.047
2020-11-09,6.031
2020-11-10,5.828
2020-11-11,5.825
2020-11-12,5.901
2020-11-13,5.806
2020-11-14,5.806
2020-11-15,5.806
2020-11-16,5.67
2020-11-17,5.677
2020-11-18,5.751
2020-11-19,5.695
2020-11-20,5.653
2020-11-21,5.653
2020-11-22,5.653
2020-11-23,5.612
2020-11-24,5.519
2020-11-25,5.518
2020-11-26,5.518
2020-11-27,5.525
2020-11-28,5.525
2020-11-29,5.525
2020-11-30,5.658
2020-12-01,5.731
2020-12-02,5.687
2020-12-03,5.687
2020-12-04,5.667
2020-12-05,5.667
2020-12-06,5.667
2020-12-07,5.744
2020-12-08,5.749
2020-12-09,5.657
2020-12-10,5.715
2020-12-11,5.698
2020-12-12,5.698
2020-12-13,5.698
2020-12-14,5.729
2020-12-15,5.676
2020-12-16,5.653
2020-12-17,5.613
2020-12-18,5.62
2020-12-19,5.62
2020-12-20,5.62
2020-12-21,5.645
2020-12-22,5.673
2020-12-23,5.699
2020-12-24,5.682
2020-12-25,5.682
2020-12-26,5.682
2020-12-27,5.682
2020-12-28,5.675
2020-12-29,5.703
2020-12-30,5.695
2020-12-31,5.673
2021-01-01,5.673
2021-01-02,5.673
2021-01-03,5.673
2021-01-04,5.769
2021-01-05,5.779
2021-01-06,5.692
2021-01-07,5.842
2021-01-08,5.951
2021-01-09,5.951
2021-01-10,5.951
2021-01-11,6.002
2021-01-12,5.955
2021-01-13,5.963
2021-01-14,5.958
2021-01-15,5.989
2021-01-16,5.989
2021-01-17,5.989
2021-01-18,5.989
2021-01-19,5.863
2021-01-20,5.825
2021-01-21,5.81
2021-01-22,5.866
2021-01-23,5.866
2021-01-24,5.866
2021-01-25,5.819
2021-01-26,5.635
2021-01-27,5.312
2021-01-28,5.408
2021-01-29,5.647
2021-01-30,5.647
2021-01-31,5.647
2021-02-01,5.678
2021-02-02,5.668
2021-02-03,5.653
2021-02-04,5.601
2021-02-05,5.541
2021-02-06,5.541
2021-02-07,5.541
2021-02-08,5.488
2021-02-09,5.482
2021-02-10,5.478
2021-02-11,5.552
2021-02-12,5.506
2021-02-13,5.506
2021-02-14,5.506
2021-02-15,5.506
2021-02-16,5.57
2021-02-17,5.57
2021-02-18,5.485
2021-02-19,5.573
2021-02-20,5.573
2021-02-21,5.573
2021-02-22,5.586
2021-02-23,5.9
2021-02-24,5.852
2021-02-25,5.815
2021-02-26,5.938
2021-02-27,5.938
2021-02-28,5.938
2021-03-01,5.892
2021-03-02,5.762
2021-03-03,5.732
2021-03-04,5.746
2021-03-05,5.645
2021-03-06,5.645
2021-03-07,5.645
2021-03-08,5.554
2021-03-09,5.633
2021-03-10,5.531
2021-03-11,5.529
2021-03-12,5.519
2021-03-13,5.519
2021-03-14,5.519
2021-03-15,5.386
2021-03-16,5.462
2021-03-17,5.42
2021-03-18,5.343
2021-03-19,5.408
2021-03-20,5.408
2021-03-21,5.408
2021-03-22,5.386
2021-03-23,5.419
2021-03-24,5.182
2021-03-25,5.117
2021-03-26,5.07
2021-03-27,5.07
2021-03-28,5.07
2021-03-29,5.048
2021-03-30,5.077
2021-03-31,5.122
2021-04-01,5.176
2021-04-02,5.176
2021-04-03,5.176
2021-04-04,5.176
2021-04-05,5.116
2021-04-06,5.069
2021-04-07,5.066
2021-04-08,5.046
2021-04-09,4.988
2021-04-10,4.988
2021-04-11,4.988
2021-04-12,4.95
2021-04-13,4.985
2021-04-14,4.977
2021-04-15,4.959
2021-04-16,4.932
2021-04-17,4.932
2021-04-18,4.932
2021-04-19,4.931
2021-04-20,4.939
2021-04-21,4.875
2021-04-22,4.875
2021-04-23,4.843
2021-04-24,4.843
2021-04-25,4.843
2021-04-26,4.906
2021-04-27,5.013
2021-04-28,4.941
2021-04-29,4.865
2021-04-30,4.912
2021-05-01,4.912
2021-05-02,4.912
2021-05-03,4.875
2021-05-04,4.857
2021-05-05,4.807
2021-05-06,4.784
2021-05-07,4.768
2021-05-08,4.768
2021-05-09,4.768
2021-05-10,4.67
2021-05-11,4.753
2021-05-12,4.869
2021-05-13,4.76
2021-05-14,4.758
2021-05-15,4.758
2021-05-16,4.758
2021-05-17,4.741
2021-05-18,4.79
2021-05-19,4.8
2021-05-20,4.787
2021-05-21,4.782
2021-05-22,4.782
2021-05-23,4.782
2021-05-24,4.764
2021-05-25,4.786
2021-05-26,4.789
2021-05-27,4.75
2021-05-28,4.754
2021-05-29,4.754
2021-05-30,4.754
2021-05-31,4.754
2021-06-01,4.751
2021-06-02,4.749
2021-06-03,4.74
2021-06-04,4.685
2021-06-05,4.685
2021-06-06,4.685
2021-06-07,4.738
2021-06-08,4.742
2021-06-09,4.761
2021-06-10,4.752
2021-06-11,4.76
2021-06-12,4.76
2021-06-13,4.76
2021-06-14,4.794
2021-06-15,4.812
2021-06-16,4.902
2021-06-17,4.947
2021-06-18,5.038
2021-06-19,5.038
2021-06-20,5.038
2021-06-21,4.945
2021-06-22,4.947
2021-06-23,5.018
2021-06-24,4.995
2021-06-25,4.957
2021-06-26,4.957
2021-06-27,4.957
2021-06-28,4.913
2021-06-29,4.924
2021-06-30,4.86
2021-07-01,4.849
2021-07-02,4.829
2021-07-03,4.829
2021-07-04,4.829
2021-07-05,4.829
2021-07-06,4.903
2021-07-07,4.83
2021-07-08,4.869
2021-07-09,4.803
2021-07-10,4.803
2021-07-11,4.803
2021-07-12,4.827
2021-07-13,4.836
2021-07-14,4.759
2021-07-15,4.765
2021-07-16,4.842
2021-07-17,4.842
2021-07-18,4.842
2021-07-19,4.885
2021-07-20,4.806
2021-07-21,4.807
2021-07-22,4.848
2021-07-23,4.814
2021-07-24,4.814
2021-07-25,4.814
2021-07-26,4.785
2021-07-27,4.814
2021-07-28,4.869
2021-07-29,4.83
2021-07-30,4.836
2021-07-31,4.836
2021-08-01,4.836
2021-08-02,4.841
2021-08-03,4.756
2021-08-04,4.841
2021-08-05,4.834
2021-08-06,4.826
2021-08-07,4.826
2021-08-08,4.826
2021-08-09,4.843
2021-08-10,4.799
2021-08-11,4.744
2021-08-12,4.747
2021-08-13,4.767
2021-08-14,4.767
2021-08-15,4.767
2021-08-16,4.726
2021-08-17,4.792
2021-08-18,4.866
2021-08-19,4.894
2021-08-20,4.887
2021-08-21,4.887
2021-08-22,4.887
2021-08-23,4.874
2021-08-24,4.873
2021-08-25,4.883
2021-08-26,4.858
2021-08-27,4.865
2021-08-28,4.865
2021-08-29,4.865
2021-08-30,4.837
2021-08-31,4.873
2021-09-01,4.906
2021-09-02,4.869
2021-09-03,4.882
2021-09-04,4.882
2021-09-05,4.882
2021-09-06,4.882
2021-09-07,5.113
2021-09-08,5.051
2021-09-09,5.109
2021-09-10,5.142
2021-09-11,5.142
2021-09-12,5.142
2021-09-13,5.123
2021-09-14,5.202
2021-09-15,5.152
2021-09-16,5.195
2021-09-17,5.229
2021-09-18,5.229
2021-09-19,5.229
2021-09-20,5.256
2021-09-21,5.319
2021-09-22,5.277
2021-09-23,5.227
2021-09-24,5.242
2021-09-25,5.242
2021-09-26,5.242
2021-09-27,5.22
