,LOW US Equity
,BEST_DIV_YLD
2020-01-01,3.536
2020-01-02,3.515
2020-01-03,3.541
2020-01-04,3.541
2020-01-05,3.541
2020-01-06,3.519
2020-01-07,3.54
2020-01-08,3.484
2020-01-09,3.47
2020-01-10,3.5
2020-01-11,3.5
2020-01-12,3.5
2020-01-13,3.498
2020-01-14,3.527
2020-01-15,3.543
2020-01-16,3.55
2020-01-17,3.461
2020-01-18,3.461
2020-01-19,3.461
2020-01-20,3.461
2020-01-21,3.486
2020-01-22,3.458
2020-01-23,3.435
2020-01-24,3.506
2020-01-25,3.506
2020-01-26,3.506
2020-01-27,3.52
2020-01-28,3.48
2020-01-29,3.501
2020-01-30,3.521
2020-01-31,3.627
2020-02-01,3.627
2020-02-02,3.627
2020-02-03,3.597
2020-02-04,3.532
2020-02-05,3.452
2020-02-06,3.469
2020-02-07,3.47
2020-02-08,3.47
2020-02-09,3.47
2020-02-10,3.478
2020-02-11,3.426
2020-02-12,3.372
2020-02-13,3.379
2020-02-14,3.361
2020-02-15,3.361
2020-02-16,3.361
2020-02-17,3.361
2020-02-18,3.421
2020-02-19,3.415
2020-02-20,3.331
2020-02-21,3.364
2020-02-22,3.364
2020-02-23,3.364
2020-02-24,3.43
2020-02-25,3.557
2020-02-26,4.14
2020-02-27,4.358
2020-02-28,4.401
2020-02-29,4.401
2020-03-01,4.401
2020-03-02,4.224
2020-03-03,4.271
2020-03-04,4.093
2020-03-05,4.312
2020-03-06,4.403
2020-03-07,4.403
2020-03-08,4.403
2020-03-09,4.921
2020-03-10,4.457
2020-03-11,4.676
2020-03-12,5.156
2020-03-13,4.805
2020-03-14,4.805
2020-03-15,4.805
2020-03-16,6.387
2020-03-17,6.283
2020-03-18,7.131
2020-03-19,6.636
2020-03-20,6.987
2020-03-21,6.987
2020-03-22,6.987
2020-03-23,6.839
2020-03-24,5.998
2020-03-25,5.538
2020-03-26,5.262
2020-03-27,5.331
2020-03-28,5.331
2020-03-29,5.331
2020-03-30,5.227
2020-03-31,5.388
2020-04-01,5.765
2020-04-02,5.596
2020-04-03,5.641
2020-04-04,5.641
2020-04-05,5.641
2020-04-06,5.223
2020-04-07,5.097
2020-04-08,4.914
2020-04-09,4.865
2020-04-10,4.865
2020-04-11,4.865
2020-04-12,4.865
2020-04-13,4.87
2020-04-14,4.68
2020-04-15,4.915
2020-04-16,5.016
2020-04-17,4.775
2020-04-18,4.775
2020-04-19,4.775
2020-04-20,4.874
2020-04-21,4.977
2020-04-22,4.855
2020-04-23,4.857
2020-04-24,4.668
2020-04-25,4.668
2020-04-26,4.668
2020-04-27,4.521
2020-04-28,4.453
2020-04-29,4.342
2020-04-30,4.401
2020-05-01,4.413
2020-05-02,4.413
2020-05-03,4.413
2020-05-04,4.294
2020-05-05,4.185
2020-05-06,4.205
2020-05-07,4.119
2020-05-08,4.035
2020-05-09,4.035
2020-05-10,4.035
2020-05-11,4.065
2020-05-12,4.144
2020-05-13,4.174
2020-05-14,4.176
2020-05-15,4.051
2020-05-16,4.051
2020-05-17,4.051
2020-05-18,3.949
2020-05-19,3.944
2020-05-20,3.94
2020-05-21,3.821
2020-05-22,3.771
2020-05-23,3.771
2020-05-24,3.771
2020-05-25,3.771
2020-05-26,3.73
2020-05-27,3.598
2020-05-28,3.595
2020-05-29,3.533
2020-05-30,3.533
2020-05-31,3.533
2020-06-01,3.561
2020-06-02,3.49
2020-06-03,3.467
2020-06-04,3.579
2020-06-05,3.516
2020-06-06,3.516
2020-06-07,3.516
2020-06-08,3.521
2020-06-09,3.554
2020-06-10,3.54
2020-06-11,3.716
2020-06-12,3.654
2020-06-13,3.654
2020-06-14,3.654
2020-06-15,3.606
2020-06-16,3.496
2020-06-17,3.395
2020-06-18,3.423
2020-06-19,3.441
2020-06-20,3.441
2020-06-21,3.441
