,VEI NO Equity,VEI NO Equity,VEI NO Equity,VEI NO Equity,VEI NO Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,21.792,21.898,21.175,21.175,61712.0
2010-01-02,21.792,21.898,21.175,21.175,61712.0
2010-01-03,21.792,21.898,21.175,21.175,61712.0
2010-01-04,21.26,22.004,21.175,22.004,40129.0
2010-01-05,22.004,22.217,21.685,22.217,200625.0
2010-01-06,21.898,21.898,21.473,21.898,110400.0
2010-01-07,21.685,22.004,21.473,21.898,66000.0
2010-01-08,21.792,22.111,21.685,21.898,68100.0
2010-01-09,21.792,22.111,21.685,21.898,68100.0
2010-01-10,21.792,22.111,21.685,21.898,68100.0
2010-01-11,22.004,22.111,21.792,21.898,47214.0
2010-01-12,21.792,21.792,21.473,21.473,55676.0
2010-01-13,21.579,21.685,21.26,21.685,19626.0
2010-01-14,21.579,21.579,21.048,21.579,207119.0
2010-01-15,21.473,21.579,21.26,21.579,46800.0
2010-01-16,21.473,21.579,21.26,21.579,46800.0
2010-01-17,21.473,21.579,21.26,21.579,46800.0
2010-01-18,21.579,21.685,21.26,21.685,33896.0
2010-01-19,21.473,21.792,21.175,21.685,73880.0
2010-01-20,21.473,21.579,21.26,21.473,21642.0
2010-01-21,21.473,21.473,20.835,20.92,73635.0
2010-01-22,20.835,20.878,20.452,20.537,68783.0
2010-01-23,20.835,20.878,20.452,20.537,68783.0
2010-01-24,20.835,20.878,20.452,20.537,68783.0
2010-01-25,20.41,20.537,20.07,20.537,50407.0
2010-01-26,20.197,20.41,20.197,20.24,36366.0
2010-01-27,20.027,20.75,19.772,20.622,41846.0
2010-01-28,20.835,21.367,20.835,21.09,27699.0
2010-01-29,21.09,21.579,21.09,21.579,35800.0
2010-01-30,21.09,21.579,21.09,21.579,35800.0
2010-01-31,21.09,21.579,21.09,21.579,35800.0
2010-02-01,21.473,21.473,20.835,21.09,13700.0
2010-02-02,20.963,22.111,20.963,22.111,445654.0
2010-02-03,21.685,22.111,21.685,21.898,271310.0
2010-02-04,21.685,21.898,21.579,21.685,31311.0
2010-02-05,21.26,21.26,20.58,21.26,45500.0
2010-02-06,21.26,21.26,20.58,21.26,45500.0
