,SALM NO Equity,SALM NO Equity,SALM NO Equity,SALM NO Equity,SALM NO Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,25.868,26.247,24.353,24.894,5000.0
2010-01-02,25.868,26.247,24.353,24.894,5000.0
2010-01-03,25.868,26.247,24.353,24.894,5000.0
2010-01-04,25.868,26.247,24.353,24.894,5000.0
2010-01-05,24.407,25.706,24.407,25.706,2600.0
2010-01-06,24.353,24.894,24.353,24.407,32850.0
2010-01-07,24.407,25.11,23.866,23.866,8200.0
2010-01-08,23.974,24.731,23.487,24.353,10200.0
2010-01-09,23.974,24.731,23.487,24.353,10200.0
2010-01-10,23.974,24.731,23.487,24.353,10200.0
2010-01-11,24.894,25.164,24.894,25.164,35800.0
2010-01-12,24.623,24.623,24.623,24.623,2700.0
2010-01-13,25.435,25.976,25.435,25.976,1600.0
2010-01-14,25.922,25.922,25.164,25.922,41112.0
2010-01-15,25.922,25.976,25.922,25.922,6480.0
2010-01-16,25.922,25.976,25.922,25.922,6480.0
2010-01-17,25.922,25.976,25.922,25.922,6480.0
2010-01-18,24.623,25.976,24.623,25.976,53725.0
2010-01-19,26.193,26.193,25.435,25.435,2875.0
2010-01-20,25.164,25.706,25.164,25.706,177400.0
2010-01-21,25.435,25.76,24.894,25.435,36200.0
2010-01-22,25.435,25.435,25.435,25.435,5000.0
2010-01-23,25.435,25.435,25.435,25.435,5000.0
2010-01-24,25.435,25.435,25.435,25.435,5000.0
2010-01-25,25.435,25.435,24.786,24.786,4400.0
2010-01-26,25.056,25.056,24.407,24.515,191000.0
2010-01-27,24.353,24.353,24.353,24.353,11400.0
2010-01-28,24.623,25.868,24.623,24.948,5400.0
2010-01-29,25.218,25.976,24.353,24.353,27800.0
2010-01-30,25.218,25.976,24.353,24.353,27800.0
2010-01-31,25.218,25.976,24.353,24.353,27800.0
2010-02-01,25.651,25.651,24.894,25.381,54800.0
2010-02-02,25.435,25.922,25.435,25.922,102400.0
2010-02-03,25.706,25.976,24.894,25.976,34945.0
2010-02-04,25.976,26.517,25.435,26.517,85000.0
2010-02-05,26.517,26.517,24.948,24.948,8200.0
2010-02-06,26.517,26.517,24.948,24.948,8200.0
2010-02-07,26.517,26.517,24.948,24.948,8200.0
2010-02-08,25.976,26.138,25.435,25.435,2600.0
2010-02-09,25.435,25.435,25.435,25.435,600.0
2010-02-10,25.435,25.435,25.435,25.435,44000.0
2010-02-11,26.517,26.517,25.435,25.976,1200.0
2010-02-12,25.327,25.327,24.677,24.894,8200.0
2010-02-13,25.327,25.327,24.677,24.894,8200.0
2010-02-14,25.327,25.327,24.677,24.894,8200.0
2010-02-15,25.164,25.976,25.164,25.706,8200.0
2010-02-16,25.706,25.976,25.435,25.976,5600.0
2010-02-17,27.329,27.329,26.517,27.004,14200.0
2010-02-18,27.058,27.058,27.058,27.058,400.0
2010-02-19,27.058,27.058,25.976,25.976,2800.0
2010-02-20,27.058,27.058,25.976,25.976,2800.0
2010-02-21,27.058,27.058,25.976,25.976,2800.0
2010-02-22,27.329,27.329,26.68,26.68,2400.0
2010-02-23,26.517,26.571,25.976,25.976,5441.0
2010-02-24,26.247,26.517,25.976,25.976,8200.0
2010-02-25,26.138,27.058,25.976,26.517,30260.0
2010-02-26,26.517,27.058,25.976,25.976,10600.0
2010-02-27,26.517,27.058,25.976,25.976,10600.0
2010-02-28,26.517,27.058,25.976,25.976,10600.0
2010-03-01,27.058,27.058,26.409,26.409,10600.0
2010-03-02,27.058,27.058,26.95,26.95,18200.0
2010-03-03,26.95,27.058,26.68,26.68,48500.0
2010-03-04,26.95,27.004,26.95,27.004,7800.0
2010-03-05,27.058,27.058,26.788,26.842,10400.0
2010-03-06,27.058,27.058,26.788,26.842,10400.0
2010-03-07,27.058,27.058,26.788,26.842,10400.0
2010-03-08,26.517,27.058,26.517,27.058,15830.0
2010-03-09,25.976,25.976,25.976,25.976,5700.0
2010-03-10,26.788,26.788,25.976,25.976,8200.0
2010-03-11,26.193,26.193,26.193,26.193,7100.0
2010-03-12,26.517,26.517,25.976,25.976,10439.0
2010-03-13,26.517,26.517,25.976,25.976,10439.0
2010-03-14,26.517,26.517,25.976,25.976,10439.0
2010-03-15,26.517,26.842,26.247,26.842,4000.0
2010-03-16,27.058,27.058,26.788,26.788,7800.0
2010-03-17,26.788,27.058,26.788,26.842,43200.0
2010-03-18,27.058,27.058,26.842,26.95,11610.0
2010-03-19,26.788,26.896,26.788,26.896,4200.0
2010-03-20,26.788,26.896,26.788,26.896,4200.0
2010-03-21,26.788,26.896,26.788,26.896,4200.0
2010-03-22,27.194,27.194,26.517,26.896,10600.0
2010-03-23,26.68,26.896,26.517,26.896,18000.0
2010-03-24,26.517,26.788,26.409,26.788,27600.0
2010-03-25,26.788,27.058,26.517,26.842,45410.0
2010-03-26,26.95,27.058,26.95,27.058,13806.0
2010-03-27,26.95,27.058,26.95,27.058,13806.0
2010-03-28,26.95,27.058,26.95,27.058,13806.0
2010-03-29,27.058,27.329,26.95,27.058,12600.0
