,UNVR IJ Equity
,RETURN_COM_EQY
2010-01-01,89.4914
2010-01-02,89.4914
2010-01-03,89.4914
2010-01-04,89.4914
2010-01-05,89.4914
2010-01-06,89.4914
2010-01-07,89.4914
2010-01-08,89.4914
2010-01-09,89.4914
2010-01-10,89.4914
2010-01-11,89.4914
2010-01-12,89.4914
2010-01-13,89.4914
2010-01-14,89.4914
2010-01-15,89.4914
2010-01-16,89.4914
2010-01-17,89.4914
2010-01-18,89.4914
2010-01-19,89.4914
2010-01-20,89.4914
2010-01-21,89.4914
2010-01-22,89.4914
2010-01-23,89.4914
2010-01-24,89.4914
2010-01-25,89.4914
2010-01-26,89.4914
2010-01-27,89.4914
2010-01-28,89.4914
2010-01-29,89.4914
2010-01-30,89.4914
2010-01-31,89.4914
2010-02-01,89.4914
2010-02-02,89.4914
2010-02-03,89.4914
2010-02-04,89.4914
2010-02-05,89.4914
2010-02-06,89.4914
2010-02-07,89.4914
2010-02-08,89.4914
2010-02-09,89.4914
2010-02-10,89.4914
2010-02-11,89.4914
2010-02-12,89.4914
2010-02-13,89.4914
2010-02-14,89.4914
2010-02-15,89.4914
2010-02-16,89.4914
2010-02-17,89.4914
2010-02-18,89.4914
2010-02-19,89.4914
2010-02-20,89.4914
2010-02-21,89.4914
2010-02-22,89.4914
2010-02-23,89.4914
2010-02-24,89.4914
2010-02-25,89.4914
2010-02-26,89.4914
2010-02-27,89.4914
2010-02-28,89.4914
2010-03-01,89.4914
2010-03-02,89.4914
2010-03-03,89.4914
2010-03-04,89.4914
2010-03-05,89.4914
2010-03-06,89.4914
2010-03-07,89.4914
2010-03-08,89.4914
2010-03-09,89.4914
2010-03-10,89.4914
2010-03-11,89.4914
2010-03-12,89.4914
2010-03-13,89.4914
2010-03-14,89.4914
2010-03-15,89.4914
2010-03-16,89.4914
2010-03-17,89.4914
2010-03-18,89.4914
2010-03-19,89.4914
2010-03-20,89.4914
2010-03-21,89.4914
2010-03-22,89.4914
2010-03-23,89.4914
2010-03-24,89.4914
2010-03-25,89.4914
2010-03-26,89.4914
2010-03-27,89.4914
2010-03-28,89.4914
2010-03-29,89.4914
2010-03-30,89.4914
2010-03-31,76.0029
2010-04-01,76.0029
2010-04-02,76.0029
2010-04-03,76.0029
2010-04-04,76.0029
2010-04-05,76.0029
2010-04-06,76.0029
2010-04-07,76.0029
2010-04-08,76.0029
2010-04-09,76.0029
2010-04-10,76.0029
2010-04-11,76.0029
2010-04-12,76.0029
2010-04-13,76.0029
2010-04-14,76.0029
2010-04-15,76.0029
2010-04-16,76.0029
2010-04-17,76.0029
2010-04-18,76.0029
2010-04-19,76.0029
2010-04-20,76.0029
2010-04-21,76.0029
2010-04-22,76.0029
2010-04-23,76.0029
2010-04-24,76.0029
2010-04-25,76.0029
2010-04-26,76.0029
2010-04-27,76.0029
2010-04-28,76.0029
2010-04-29,76.0029
2010-04-30,76.0029
2010-05-01,76.0029
2010-05-02,76.0029
2010-05-03,76.0029
2010-05-04,76.0029
2010-05-05,76.0029
2010-05-06,76.0029
2010-05-07,76.0029
2010-05-08,76.0029
2010-05-09,76.0029
2010-05-10,76.0029
2010-05-11,76.0029
2010-05-12,76.0029
2010-05-13,76.0029
2010-05-14,76.0029
2010-05-15,76.0029
2010-05-16,76.0029
2010-05-17,76.0029
2010-05-18,76.0029
2010-05-19,76.0029
2010-05-20,76.0029
2010-05-21,76.0029
2010-05-22,76.0029
2010-05-23,76.0029
2010-05-24,76.0029
2010-05-25,76.0029
2010-05-26,76.0029
2010-05-27,76.0029
2010-05-28,76.0029
2010-05-29,76.0029
2010-05-30,76.0029
2010-05-31,76.0029
2010-06-01,76.0029
2010-06-02,76.0029
2010-06-03,76.0029
2010-06-04,76.0029
2010-06-05,76.0029
2010-06-06,76.0029
2010-06-07,76.0029
2010-06-08,76.0029
2010-06-09,76.0029
2010-06-10,76.0029
2010-06-11,76.0029
2010-06-12,76.0029
2010-06-13,76.0029
2010-06-14,76.0029
2010-06-15,76.0029
2010-06-16,76.0029
2010-06-17,76.0029
2010-06-18,76.0029
2010-06-19,76.0029
2010-06-20,76.0029
2010-06-21,76.0029
2010-06-22,76.0029
2010-06-23,76.0029
2010-06-24,76.0029
2010-06-25,76.0029
2010-06-26,76.0029
2010-06-27,76.0029
2010-06-28,76.0029
2010-06-29,76.0029
2010-06-30,108.6677
2010-07-01,108.6677
2010-07-02,108.6677
2010-07-03,108.6677
2010-07-04,108.6677
2010-07-05,108.6677
2010-07-06,108.6677
2010-07-07,108.6677
2010-07-08,108.6677
2010-07-09,108.6677
2010-07-10,108.6677
2010-07-11,108.6677
2010-07-12,108.6677
2010-07-13,108.6677
2010-07-14,108.6677
2010-07-15,108.6677
2010-07-16,108.6677
2010-07-17,108.6677
2010-07-18,108.6677
2010-07-19,108.6677
2010-07-20,108.6677
2010-07-21,108.6677
2010-07-22,108.6677
2010-07-23,108.6677
2010-07-24,108.6677
2010-07-25,108.6677
2010-07-26,108.6677
2010-07-27,108.6677
2010-07-28,108.6677
2010-07-29,108.6677
2010-07-30,108.6677
2010-07-31,108.6677
2010-08-01,108.6677
2010-08-02,108.6677
2010-08-03,108.6677
2010-08-04,108.6677
2010-08-05,108.6677
2010-08-06,108.6677
2010-08-07,108.6677
2010-08-08,108.6677
2010-08-09,108.6677
2010-08-10,108.6677
2010-08-11,108.6677
2010-08-12,108.6677
2010-08-13,108.6677
