,PTBA IJ Equity
,RETURN_COM_EQY
2010-01-01,56.2448
2010-01-02,56.2448
2010-01-03,56.2448
2010-01-04,56.2448
2010-01-05,56.2448
2010-01-06,56.2448
2010-01-07,56.2448
2010-01-08,56.2448
2010-01-09,56.2448
2010-01-10,56.2448
2010-01-11,56.2448
2010-01-12,56.2448
2010-01-13,56.2448
2010-01-14,56.2448
2010-01-15,56.2448
2010-01-16,56.2448
2010-01-17,56.2448
2010-01-18,56.2448
2010-01-19,56.2448
2010-01-20,56.2448
2010-01-21,56.2448
2010-01-22,56.2448
2010-01-23,56.2448
2010-01-24,56.2448
2010-01-25,56.2448
2010-01-26,56.2448
2010-01-27,56.2448
2010-01-28,56.2448
2010-01-29,56.2448
2010-01-30,56.2448
2010-01-31,56.2448
2010-02-01,56.2448
2010-02-02,56.2448
2010-02-03,56.2448
2010-02-04,56.2448
2010-02-05,56.2448
2010-02-06,56.2448
2010-02-07,56.2448
2010-02-08,56.2448
2010-02-09,56.2448
2010-02-10,56.2448
2010-02-11,56.2448
2010-02-12,56.2448
2010-02-13,56.2448
2010-02-14,56.2448
2010-02-15,56.2448
2010-02-16,56.2448
2010-02-17,56.2448
2010-02-18,56.2448
2010-02-19,56.2448
2010-02-20,56.2448
2010-02-21,56.2448
2010-02-22,56.2448
2010-02-23,56.2448
2010-02-24,56.2448
2010-02-25,56.2448
2010-02-26,56.2448
2010-02-27,56.2448
2010-02-28,56.2448
2010-03-01,56.2448
2010-03-02,56.2448
2010-03-03,56.2448
2010-03-04,56.2448
2010-03-05,56.2448
2010-03-06,56.2448
2010-03-07,56.2448
2010-03-08,56.2448
2010-03-09,56.2448
2010-03-10,56.2448
2010-03-11,56.2448
2010-03-12,56.2448
2010-03-13,56.2448
2010-03-14,56.2448
2010-03-15,56.2448
2010-03-16,56.2448
2010-03-17,56.2448
2010-03-18,56.2448
2010-03-19,56.2448
2010-03-20,56.2448
2010-03-21,56.2448
2010-03-22,56.2448
2010-03-23,56.2448
2010-03-24,56.2448
2010-03-25,56.2448
2010-03-26,56.2448
2010-03-27,56.2448
2010-03-28,56.2448
2010-03-29,56.2448
2010-03-30,56.2448
2010-03-31,39.6676
2010-04-01,39.6676
2010-04-02,39.6676
2010-04-03,39.6676
2010-04-04,39.6676
2010-04-05,39.6676
2010-04-06,39.6676
2010-04-07,39.6676
2010-04-08,39.6676
2010-04-09,39.6676
2010-04-10,39.6676
2010-04-11,39.6676
2010-04-12,39.6676
2010-04-13,39.6676
2010-04-14,39.6676
2010-04-15,39.6676
2010-04-16,39.6676
2010-04-17,39.6676
2010-04-18,39.6676
2010-04-19,39.6676
2010-04-20,39.6676
2010-04-21,39.6676
