,HMSP IJ Equity
,RETURN_COM_EQY
2010-01-01,54.97
2010-01-02,54.97
2010-01-03,54.97
2010-01-04,54.97
2010-01-05,54.97
2010-01-06,54.97
2010-01-07,54.97
2010-01-08,54.97
2010-01-09,54.97
2010-01-10,54.97
2010-01-11,54.97
2010-01-12,54.97
2010-01-13,54.97
2010-01-14,54.97
2010-01-15,54.97
2010-01-16,54.97
2010-01-17,54.97
2010-01-18,54.97
2010-01-19,54.97
2010-01-20,54.97
2010-01-21,54.97
2010-01-22,54.97
2010-01-23,54.97
2010-01-24,54.97
2010-01-25,54.97
2010-01-26,54.97
2010-01-27,54.97
2010-01-28,54.97
2010-01-29,54.97
2010-01-30,54.97
2010-01-31,54.97
2010-02-01,54.97
2010-02-02,54.97
2010-02-03,54.97
2010-02-04,54.97
2010-02-05,54.97
2010-02-06,54.97
2010-02-07,54.97
2010-02-08,54.97
2010-02-09,54.97
2010-02-10,54.97
2010-02-11,54.97
2010-02-12,54.97
2010-02-13,54.97
2010-02-14,54.97
2010-02-15,54.97
2010-02-16,54.97
2010-02-17,54.97
2010-02-18,54.97
2010-02-19,54.97
2010-02-20,54.97
2010-02-21,54.97
2010-02-22,54.97
2010-02-23,54.97
2010-02-24,54.97
2010-02-25,54.97
2010-02-26,54.97
2010-02-27,54.97
2010-02-28,54.97
2010-03-01,54.97
2010-03-02,54.97
2010-03-03,54.97
2010-03-04,54.97
2010-03-05,54.97
2010-03-06,54.97
2010-03-07,54.97
2010-03-08,54.97
2010-03-09,54.97
2010-03-10,54.97
2010-03-11,54.97
2010-03-12,54.97
2010-03-13,54.97
2010-03-14,54.97
2010-03-15,54.97
2010-03-16,54.97
2010-03-17,54.97
2010-03-18,54.97
2010-03-19,54.97
2010-03-20,54.97
2010-03-21,54.97
2010-03-22,54.97
2010-03-23,54.97
2010-03-24,54.97
2010-03-25,54.97
2010-03-26,54.97
2010-03-27,54.97
2010-03-28,54.97
2010-03-29,54.97
2010-03-30,54.97
2010-03-31,49.1204
2010-04-01,49.1204
2010-04-02,49.1204
2010-04-03,49.1204
2010-04-04,49.1204
2010-04-05,49.1204
2010-04-06,49.1204
2010-04-07,49.1204
2010-04-08,49.1204
2010-04-09,49.1204
2010-04-10,49.1204
2010-04-11,49.1204
2010-04-12,49.1204
2010-04-13,49.1204
2010-04-14,49.1204
2010-04-15,49.1204
2010-04-16,49.1204
2010-04-17,49.1204
2010-04-18,49.1204
2010-04-19,49.1204
2010-04-20,49.1204
2010-04-21,49.1204
2010-04-22,49.1204
2010-04-23,49.1204
2010-04-24,49.1204
2010-04-25,49.1204
2010-04-26,49.1204
2010-04-27,49.1204
2010-04-28,49.1204
2010-04-29,49.1204
2010-04-30,49.1204
2010-05-01,49.1204
2010-05-02,49.1204
2010-05-03,49.1204
2010-05-04,49.1204
2010-05-05,49.1204
2010-05-06,49.1204
2010-05-07,49.1204
2010-05-08,49.1204
2010-05-09,49.1204
2010-05-10,49.1204
2010-05-11,49.1204
2010-05-12,49.1204
2010-05-13,49.1204
2010-05-14,49.1204
2010-05-15,49.1204
2010-05-16,49.1204
2010-05-17,49.1204
2010-05-18,49.1204
2010-05-19,49.1204
2010-05-20,49.1204
2010-05-21,49.1204
2010-05-22,49.1204
2010-05-23,49.1204
2010-05-24,49.1204
2010-05-25,49.1204
2010-05-26,49.1204
2010-05-27,49.1204
2010-05-28,49.1204
2010-05-29,49.1204
2010-05-30,49.1204
2010-05-31,49.1204
2010-06-01,49.1204
2010-06-02,49.1204
2010-06-03,49.1204
2010-06-04,49.1204
2010-06-05,49.1204
2010-06-06,49.1204
2010-06-07,49.1204
2010-06-08,49.1204
2010-06-09,49.1204
2010-06-10,49.1204
2010-06-11,49.1204
2010-06-12,49.1204
2010-06-13,49.1204
2010-06-14,49.1204
2010-06-15,49.1204
2010-06-16,49.1204
2010-06-17,49.1204
2010-06-18,49.1204
2010-06-19,49.1204
2010-06-20,49.1204
2010-06-21,49.1204
2010-06-22,49.1204
2010-06-23,49.1204
2010-06-24,49.1204
2010-06-25,49.1204
2010-06-26,49.1204
2010-06-27,49.1204
2010-06-28,49.1204
2010-06-29,49.1204
2010-06-30,74.8887
2010-07-01,74.8887
2010-07-02,74.8887
2010-07-03,74.8887
2010-07-04,74.8887
2010-07-05,74.8887
2010-07-06,74.8887
2010-07-07,74.8887
2010-07-08,74.8887
2010-07-09,74.8887
2010-07-10,74.8887
2010-07-11,74.8887
2010-07-12,74.8887
2010-07-13,74.8887
2010-07-14,74.8887
2010-07-15,74.8887
2010-07-16,74.8887
2010-07-17,74.8887
2010-07-18,74.8887
2010-07-19,74.8887
2010-07-20,74.8887
2010-07-21,74.8887
2010-07-22,74.8887
2010-07-23,74.8887
2010-07-24,74.8887
2010-07-25,74.8887
2010-07-26,74.8887
2010-07-27,74.8887
2010-07-28,74.8887
2010-07-29,74.8887
2010-07-30,74.8887
2010-07-31,74.8887
2010-08-01,74.8887
2010-08-02,74.8887
2010-08-03,74.8887
2010-08-04,74.8887
2010-08-05,74.8887
2010-08-06,74.8887
2010-08-07,74.8887
2010-08-08,74.8887
2010-08-09,74.8887
2010-08-10,74.8887
2010-08-11,74.8887
2010-08-12,74.8887
2010-08-13,74.8887
2010-08-14,74.8887
2010-08-15,74.8887
2010-08-16,74.8887
2010-08-17,74.8887
2010-08-18,74.8887
2010-08-19,74.8887
2010-08-20,74.8887
2010-08-21,74.8887
2010-08-22,74.8887
2010-08-23,74.8887
2010-08-24,74.8887
2010-08-25,74.8887
2010-08-26,74.8887
2010-08-27,74.8887
2010-08-28,74.8887
2010-08-29,74.8887
2010-08-30,74.8887
2010-08-31,74.8887
2010-09-01,74.8887
2010-09-02,74.8887
2010-09-03,74.8887
2010-09-04,74.8887
2010-09-05,74.8887
2010-09-06,74.8887
2010-09-07,74.8887
2010-09-08,74.8887
2010-09-09,74.8887
2010-09-10,74.8887
2010-09-11,74.8887
2010-09-12,74.8887
2010-09-13,74.8887
2010-09-14,74.8887
2010-09-15,74.8887
2010-09-16,74.8887
2010-09-17,74.8887
2010-09-18,74.8887
2010-09-19,74.8887
2010-09-20,74.8887
2010-09-21,74.8887
2010-09-22,74.8887
2010-09-23,74.8887
2010-09-24,74.8887
2010-09-25,74.8887
2010-09-26,74.8887
2010-09-27,74.8887
2010-09-28,74.8887
2010-09-29,74.8887
2010-09-30,68.8651
