,GGAL AR Equity,GGAL AR Equity,GGAL AR Equity,GGAL AR Equity,GGAL AR Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,1.744,1.76,1.72,1.744,1051212.0
2010-01-02,1.744,1.76,1.72,1.744,1051212.0
2010-01-03,1.744,1.76,1.72,1.744,1051212.0
2010-01-04,1.769,1.785,1.752,1.769,1485340.0
2010-01-05,1.769,1.842,1.769,1.817,2624534.0
2010-01-06,1.769,1.785,1.728,1.744,3233258.0
2010-01-07,1.736,1.785,1.72,1.777,2773188.0
2010-01-08,1.76,1.76,1.72,1.736,1289365.0
2010-01-09,1.76,1.76,1.72,1.736,1289365.0
2010-01-10,1.76,1.76,1.72,1.736,1289365.0
2010-01-11,1.728,1.736,1.647,1.663,2014212.0
2010-01-12,1.655,1.655,1.582,1.598,3018629.0
2010-01-13,1.598,1.671,1.598,1.655,2333102.0
2010-01-14,1.671,1.76,1.671,1.72,1478329.0
2010-01-15,1.72,1.728,1.687,1.72,1195594.0
2010-01-16,1.72,1.728,1.687,1.72,1195594.0
2010-01-17,1.72,1.728,1.687,1.72,1195594.0
2010-01-18,1.72,1.728,1.696,1.728,369562.0
2010-01-19,1.728,1.76,1.704,1.752,897525.0
2010-01-20,1.736,1.736,1.712,1.712,630303.0
2010-01-21,1.712,1.72,1.663,1.696,881162.0
2010-01-22,1.663,1.696,1.663,1.679,647352.0
2010-01-23,1.663,1.696,1.663,1.679,647352.0
2010-01-24,1.663,1.696,1.663,1.679,647352.0
2010-01-25,1.679,1.687,1.639,1.663,544594.0
2010-01-26,1.647,1.679,1.639,1.655,583211.0
2010-01-27,1.655,1.663,1.623,1.663,938070.0
2010-01-28,1.663,1.671,1.623,1.639,649189.0
2010-01-29,1.639,1.663,1.639,1.655,1122084.0
2010-01-30,1.639,1.663,1.639,1.655,1122084.0
2010-01-31,1.639,1.663,1.639,1.655,1122084.0
2010-02-01,1.655,1.663,1.639,1.639,614821.0
2010-02-02,1.647,1.655,1.639,1.655,540023.0
2010-02-03,1.663,1.663,1.639,1.639,743969.0
2010-02-04,1.631,1.631,1.558,1.566,1384723.0
2010-02-05,1.55,1.558,1.485,1.493,2148842.0
2010-02-06,1.55,1.558,1.485,1.493,2148842.0
2010-02-07,1.55,1.558,1.485,1.493,2148842.0
2010-02-08,1.501,1.533,1.493,1.493,811553.0
2010-02-09,1.533,1.541,1.501,1.533,667561.0
2010-02-10,1.541,1.55,1.509,1.509,594004.0
2010-02-11,1.517,1.59,1.517,1.574,1792137.0
2010-02-12,1.574,1.598,1.558,1.582,516180.0
2010-02-13,1.574,1.598,1.558,1.582,516180.0
2010-02-14,1.574,1.598,1.558,1.582,516180.0
2010-02-15,1.59,1.59,1.574,1.582,186343.0
2010-02-16,1.59,1.598,1.525,1.55,969426.0
2010-02-17,1.566,1.574,1.533,1.55,633287.0
2010-02-18,1.533,1.55,1.509,1.541,1293965.0
2010-02-19,1.501,1.541,1.501,1.533,990111.0
2010-02-20,1.501,1.541,1.501,1.533,990111.0
2010-02-21,1.501,1.541,1.501,1.533,990111.0
2010-02-22,1.517,1.541,1.517,1.541,506581.0
2010-02-23,1.525,1.533,1.509,1.517,1297660.0
2010-02-24,1.517,1.525,1.501,1.517,1213404.0
2010-02-25,1.501,1.501,1.468,1.501,805505.0
2010-02-26,1.517,1.541,1.493,1.541,775637.0
2010-02-27,1.517,1.541,1.493,1.541,775637.0
2010-02-28,1.517,1.541,1.493,1.541,775637.0
2010-03-01,1.517,1.582,1.517,1.582,858126.0
