,BMA AR Equity,BMA AR Equity,BMA AR Equity,BMA AR Equity,BMA AR Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,8.335,8.45,8.22,8.22,116563.0
2010-01-02,8.335,8.45,8.22,8.22,116563.0
2010-01-03,8.335,8.45,8.22,8.22,116563.0
2010-01-04,8.411,8.717,8.411,8.526,124322.0
2010-01-05,8.641,8.87,8.526,8.564,74347.0
2010-01-06,8.335,8.488,8.258,8.297,338651.0
2010-01-07,8.297,8.411,8.258,8.373,239746.0
2010-01-08,8.335,8.335,8.029,8.258,126386.0
2010-01-09,8.335,8.335,8.029,8.258,126386.0
2010-01-10,8.335,8.335,8.029,8.258,126386.0
2010-01-11,8.22,8.258,8.106,8.144,117067.0
2010-01-12,8.029,8.22,7.876,8.144,353574.0
2010-01-13,8.144,8.258,8.106,8.258,255686.0
2010-01-14,8.335,8.488,8.22,8.411,159832.0
2010-01-15,8.411,8.526,8.335,8.45,165149.0
2010-01-16,8.411,8.526,8.335,8.45,165149.0
2010-01-17,8.411,8.526,8.335,8.45,165149.0
2010-01-18,8.526,8.526,8.182,8.182,17840.0
2010-01-19,8.22,8.488,8.22,8.335,33553.0
2010-01-20,8.411,8.526,8.335,8.526,520094.0
2010-01-21,8.526,8.603,8.411,8.564,240835.0
2010-01-22,8.564,8.564,8.335,8.488,118188.0
2010-01-23,8.564,8.564,8.335,8.488,118188.0
2010-01-24,8.564,8.564,8.335,8.488,118188.0
2010-01-25,8.45,8.45,8.22,8.335,102946.0
2010-01-26,8.297,8.373,8.22,8.22,91306.0
2010-01-27,8.258,8.258,8.029,8.106,55988.0
2010-01-28,8.258,8.258,8.067,8.144,203381.0
2010-01-29,8.182,8.22,8.182,8.22,75384.0
2010-01-30,8.182,8.22,8.182,8.22,75384.0
2010-01-31,8.182,8.22,8.182,8.22,75384.0
2010-02-01,8.297,8.297,8.22,8.297,39713.0
2010-02-02,8.297,8.335,8.258,8.258,74702.0
2010-02-03,8.182,8.297,8.182,8.258,150360.0
2010-02-04,8.106,8.106,7.647,7.723,91624.0
2010-02-05,7.608,7.608,7.303,7.341,78132.0
2010-02-06,7.608,7.608,7.303,7.341,78132.0
2010-02-07,7.608,7.608,7.303,7.341,78132.0
2010-02-08,7.341,7.532,7.341,7.356,130844.0
2010-02-09,7.417,7.494,7.188,7.417,149675.0
2010-02-10,7.433,7.494,7.341,7.41,61503.0
2010-02-11,7.417,7.54,7.341,7.54,216226.0
2010-02-12,7.647,7.723,7.57,7.647,283522.0
2010-02-13,7.647,7.723,7.57,7.647,283522.0
2010-02-14,7.647,7.723,7.57,7.647,283522.0
2010-02-15,7.723,7.723,7.647,7.647,13089.0
2010-02-16,7.723,7.876,7.685,7.8,127322.0
2010-02-17,7.876,7.953,7.876,7.953,101960.0
2010-02-18,7.876,8.258,7.876,8.182,163616.0
2010-02-19,8.029,8.297,7.876,8.297,71949.0
2010-02-20,8.029,8.297,7.876,8.297,71949.0
2010-02-21,8.029,8.297,7.876,8.297,71949.0
2010-02-22,8.297,8.335,8.22,8.22,40720.0
2010-02-23,8.182,8.258,8.106,8.258,156340.0
2010-02-24,8.258,8.373,8.22,8.22,52036.0
2010-02-25,8.067,8.067,7.723,7.838,57944.0
2010-02-26,7.876,7.876,7.8,7.838,23973.0
2010-02-27,7.876,7.876,7.8,7.838,23973.0
2010-02-28,7.876,7.876,7.8,7.838,23973.0
2010-03-01,7.838,8.067,7.838,8.029,29289.0
2010-03-02,8.067,8.258,8.067,8.182,65303.0
2010-03-03,8.258,8.258,8.067,8.067,44918.0
2010-03-04,8.029,8.144,7.953,7.953,52244.0
2010-03-05,8.029,8.258,8.029,8.182,50546.0
2010-03-06,8.029,8.258,8.029,8.182,50546.0
2010-03-07,8.029,8.258,8.029,8.182,50546.0
2010-03-08,8.182,8.335,8.182,8.335,80723.0
2010-03-09,8.335,8.373,8.258,8.373,48891.0
2010-03-10,8.373,8.45,8.373,8.373,139219.0
2010-03-11,8.373,8.488,8.373,8.45,70758.0
2010-03-12,8.45,8.564,8.411,8.488,127750.0
2010-03-13,8.45,8.564,8.411,8.488,127750.0
2010-03-14,8.45,8.564,8.411,8.488,127750.0
2010-03-15,8.411,8.488,8.373,8.488,51364.0
2010-03-16,8.488,8.603,8.45,8.603,84776.0
2010-03-17,8.603,8.832,8.603,8.755,184301.0
2010-03-18,8.755,8.947,8.641,8.755,161318.0
2010-03-19,8.755,9.023,8.641,8.794,83168.0
2010-03-20,8.755,9.023,8.641,8.794,83168.0
2010-03-21,8.755,9.023,8.641,8.794,83168.0
2010-03-22,8.832,9.061,8.794,9.023,124556.0
