,TGSU2 AR Equity,TGSU2 AR Equity,TGSU2 AR Equity,TGSU2 AR Equity,TGSU2 AR Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,1.106,1.116,1.101,1.106,39679.0
2010-01-02,1.106,1.116,1.101,1.106,39679.0
2010-01-03,1.106,1.116,1.101,1.106,39679.0
2010-01-04,1.106,1.156,1.106,1.141,145546.0
2010-01-05,1.151,1.196,1.151,1.196,335915.0
2010-01-06,1.176,1.201,1.171,1.196,423937.0
2010-01-07,1.181,1.196,1.181,1.191,350011.0
2010-01-08,1.181,1.181,1.171,1.176,280179.0
2010-01-09,1.181,1.181,1.171,1.176,280179.0
2010-01-10,1.181,1.181,1.171,1.176,280179.0
2010-01-11,1.166,1.171,1.151,1.151,118113.0
2010-01-12,1.146,1.146,1.101,1.106,348498.0
2010-01-13,1.106,1.126,1.091,1.111,12333.0
2010-01-14,1.116,1.141,1.111,1.141,90657.0
2010-01-15,1.121,1.126,1.106,1.126,76883.0
2010-01-16,1.121,1.126,1.106,1.126,76883.0
2010-01-17,1.121,1.126,1.106,1.126,76883.0
2010-01-18,1.116,1.121,1.116,1.121,2492.0
2010-01-19,1.111,1.121,1.101,1.106,472845.0
2010-01-20,1.096,1.121,1.096,1.121,36679.0
2010-01-21,1.106,1.126,1.106,1.126,19939.0
2010-01-22,1.126,1.126,1.116,1.121,43253.0
2010-01-23,1.126,1.126,1.116,1.121,43253.0
2010-01-24,1.126,1.126,1.116,1.121,43253.0
2010-01-25,1.121,1.126,1.096,1.101,48566.0
2010-01-26,1.096,1.106,1.086,1.086,22828.0
2010-01-27,1.086,1.131,1.06,1.131,253149.0
2010-01-28,1.106,1.106,1.086,1.091,71910.0
2010-01-29,1.106,1.106,1.086,1.086,147454.0
2010-01-30,1.106,1.106,1.086,1.086,147454.0
2010-01-31,1.106,1.106,1.086,1.086,147454.0
2010-02-01,1.091,1.106,1.091,1.091,70892.0
